return_id,order_id,product_id,quantity,return_date,reason,refund_amount
79,1090,209,4,2025-11-27,CHANGED_MIND,4221.42
80,1098,6,2,2024-12-02,OTHER,677.11
81,1172,77,3,2024-04-04,CHANGED_MIND,777.12
82,1184,194,3,2026-06-30,NOT_AS_DESCRIBED,4503.71
83,1187,80,4,2026-04-27,WRONG_ITEM,6548.61
84,1200,39,1,2024-07-07,DEFECTIVE,1346.52
85,1239,63,3,2024-08-30,NOT_AS_DESCRIBED,4154.7
86,1242,22,1,2025-08-03,DAMAGED_SHIPPING,190.48
87,1247,80,3,2025-11-29,WRONG_ITEM,444.25
88,1251,196,1,2024-12-28,DAMAGED_SHIPPING,874.58
89,1284,121,2,2026-04-02,CHANGED_MIND,2158.88
90,1315,84,2,2024-09-28,DAMAGED_SHIPPING,2272.43
91,1322,128,1,2026-03-15,WRONG_ITEM,0.0
92,1377,167,1,2025-11-12,WRONG_ITEM,345.99
93,1392,46,2,2024-04-14,DEFECTIVE,399.66
94,1393,141,1,2024-12-24,WRONG_ITEM,525.96
95,1412,209,3,2025-12-27,DAMAGED_SHIPPING,3816.34
96,1441,193,2,2024-07-03,DAMAGED_SHIPPING,2644.53
97,1493,158,3,2025-11-15,OTHER,486.24
