customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
266.0,48,3,30967.759430000002,1,2,1,121,High Value
161.0,174,3,30545.120202,2,2,1,221,High Value
165.0,13,7,30133.114403999996,1,1,1,111,VIP
433.0,104,8,30059.322243,2,1,1,211,High Value
132.0,239,6,29937.427168000002,2,1,1,211,High Value
124.0,106,5,29369.114623,2,1,1,211,High Value
319.0,98,7,29285.921388,1,1,1,111,VIP
556.0,240,5,29207.124988000003,2,1,1,211,High Value
59.0,44,8,29090.653943,1,1,1,111,VIP
184.0,15,5,29014.828602,1,1,1,111,VIP
196.0,446,4,28986.389876,3,2,1,321,High Value
55.0,202,5,28956.003012,2,1,1,211,High Value
532.0,577,4,28953.0123,4,1,1,411,High Value
503.0,44,5,28901.964084000003,1,1,1,111,VIP
42.0,116,7,28524.271195,2,1,1,211,High Value
215.0,13,5,28458.401732,1,1,1,111,VIP
340.0,164,8,27949.17867,2,1,1,211,High Value
150.0,52,9,27798.717857,1,1,1,111,VIP
35.0,88,6,27768.863315000002,1,1,1,111,VIP
95.0,-204,5,27484.144203000003,1,1,1,111,VIP
460.0,36,7,27407.640974,1,1,1,111,VIP
551.0,218,4,26866.840944,2,1,1,211,High Value
524.0,67,8,26503.743462,1,1,1,111,VIP
361.0,22,5,26407.581169999998,1,1,1,111,VIP
558.0,235,6,26204.461413999998,2,1,1,211,High Value
257.0,98,5,25950.646854000002,1,1,1,111,VIP
198.0,207,4,25904.272188,2,2,1,221,High Value
343.0,-364,6,25757.562438,1,1,1,111,VIP
151.0,31,4,25704.185061999997,1,2,1,121,High Value
516.0,236,5,25468.08052,2,1,1,211,High Value
325.0,197,2,25467.766452999997,2,3,1,231,Occasional
384.0,145,3,25446.7104,2,2,1,221,High Value
424.0,35,4,25296.544459999997,1,1,1,111,VIP
270.0,106,5,25197.76026,2,1,1,211,High Value
486.0,433,3,24467.215421,3,2,1,321,High Value
6.0,141,7,24322.771767,2,1,1,211,High Value
377.0,64,5,24088.709815000002,1,1,1,111,VIP
123.0,75,8,23611.732704000002,1,1,1,111,VIP
260.0,30,4,23511.162305,1,2,1,121,High Value
274.0,24,5,23455.774126,1,1,1,111,VIP
152.0,35,5,23448.821283999998,1,1,1,111,VIP
499.0,276,3,23430.504838999997,3,2,1,321,High Value
397.0,137,5,23315.082012,2,1,1,211,High Value
267.0,31,5,22872.237939,1,1,1,111,VIP
342.0,581,2,22400.64081,4,3,1,431,At Risk
114.0,164,6,22303.770332,2,1,1,211,High Value
209.0,129,6,22256.328194,2,1,1,211,High Value
170.0,247,5,22213.364992000003,3,1,1,311,High Value
309.0,327,3,22124.064044,3,2,1,321,High Value
213.0,22,5,21960.644652,1,1,1,111,VIP
386.0,461,7,21789.643722,4,1,1,411,High Value
205.0,126,3,21764.409512,2,2,1,221,High Value
27.0,173,4,21681.270761,2,2,1,221,High Value
283.0,76,4,21556.317492000002,1,1,1,111,VIP
478.0,10,4,20970.511162,1,1,1,111,VIP
492.0,122,5,20915.420621999998,2,1,1,211,High Value
93.0,14,4,20842.040823,1,2,1,121,High Value
36.0,547,4,20754.929426000002,4,2,1,421,High Value
14.0,321,6,20727.143627999998,3,1,1,311,High Value
430.0,214,4,20650.973628,2,1,1,211,High Value
279.0,98,4,20565.592622,1,2,1,121,High Value
432.0,18,4,20248.549349,1,1,1,111,VIP
82.0,31,4,20238.566424999997,1,2,1,121,High Value
158.0,161,4,20145.441151000003,2,2,1,221,High Value
113.0,-310,6,20090.929281,1,1,1,111,VIP
346.0,37,5,20018.138388,1,1,1,111,VIP
38.0,312,3,19810.609582,3,2,1,321,High Value
41.0,108,5,19790.136602,2,1,1,211,High Value
527.0,200,3,19326.863438999997,2,2,1,221,High Value
67.0,166,5,19316.742501,2,1,1,211,High Value
563.0,141,3,19310.76527,2,2,1,221,High Value
485.0,125,2,19196.236062,2,3,1,231,Occasional
454.0,85,5,19156.803715,1,1,1,111,VIP
308.0,172,6,18882.076762,2,1,1,211,High Value
587.0,301,4,18848.095216,3,1,1,311,High Value
555.0,164,5,18627.136945,2,1,1,211,High Value
568.0,203,6,18220.6913,2,1,1,211,High Value
357.0,155,2,18216.886399000003,2,3,1,231,Occasional
121.0,34,3,18039.536233,1,2,1,121,High Value
446.0,97,3,17966.692103,1,2,1,121,High Value
222.0,13,3,17865.533791,1,2,1,121,High Value
149.0,23,3,17845.921595,1,2,1,121,High Value
385.0,78,4,17757.123166,1,1,1,111,VIP
399.0,164,4,17674.836780999998,2,1,1,211,High Value
314.0,28,3,17632.136211,1,2,2,122,Regular
411.0,67,2,17396.943842,1,3,2,132,Occasional
456.0,401,4,17393.950948,3,1,2,312,Regular
293.0,10,4,17303.65845,1,1,2,112,Regular
183.0,520,6,17294.581952,4,1,2,412,At Risk
105.0,262,4,17193.349154,3,2,2,322,Regular
73.0,347,3,17049.267008,3,2,2,322,Regular
451.0,466,3,16968.949696,4,2,2,422,At Risk
169.0,475,2,16852.247296,4,3,2,432,At Risk
9.0,276,3,16608.280937,3,2,2,322,Regular
207.0,249,4,16459.807602,3,2,2,322,Regular
211.0,105,3,16448.841623,2,2,2,222,Regular
339.0,80,9,16385.738898,1,1,2,112,Regular
363.0,500,4,16222.989753,4,1,2,412,At Risk
417.0,554,2,16200.223508,4,3,2,432,At Risk
137.0,222,4,16186.876815,2,2,2,222,Regular
228.0,429,5,16059.865995,3,1,2,312,Regular
77.0,135,4,15908.263664000002,2,2,2,222,Regular
130.0,-366,3,15823.501876,1,2,2,122,Regular
427.0,233,4,15793.216885,2,1,2,212,Regular
468.0,260,2,15590.25549,3,3,2,332,Occasional
574.0,243,4,15471.511594,3,1,2,312,Regular
387.0,88,4,15436.85314,1,1,2,112,Regular
398.0,338,5,15313.985875999999,3,1,2,312,Regular
442.0,438,2,15282.249048,3,3,2,332,Occasional
230.0,173,3,15213.423062,2,2,2,222,Regular
438.0,929,1,15192.261519999998,4,4,2,442,At Risk
26.0,225,4,15162.941871,2,2,2,222,Regular
538.0,72,3,15159.854492,1,2,2,122,Regular
537.0,752,1,15069.607888999999,4,3,2,432,At Risk
163.0,174,3,15048.855660000001,2,2,2,222,Regular
463.0,231,3,15031.234457999999,2,2,2,222,Regular
553.0,277,5,14975.909151,3,1,2,312,Regular
497.0,109,2,14958.378267,2,2,2,222,Regular
405.0,51,5,14921.037102999999,1,1,2,112,Regular
336.0,48,3,14906.858818999997,1,2,2,122,Regular
136.0,200,5,14899.827544,2,1,2,212,Regular
48.0,248,8,14872.151646,3,1,2,312,Regular
528.0,236,3,14860.677981,2,2,2,222,Regular
177.0,103,2,14781.919651000002,2,3,2,232,Occasional
330.0,613,2,14705.617323,4,3,2,432,At Risk
331.0,111,2,14690.663354999999,2,3,2,232,Occasional
317.0,79,2,14583.421646,1,3,2,132,Occasional
403.0,91,3,14579.382416999999,1,2,2,122,Regular
544.0,69,2,14409.908155,1,2,2,122,Regular
110.0,248,5,14400.872063,3,1,2,312,Regular
415.0,406,3,14254.498029,3,2,2,322,Regular
106.0,513,2,14248.223149999998,4,3,2,432,At Risk
21.0,33,5,14072.7169,1,1,2,112,Regular
192.0,277,5,14031.019734999998,3,1,2,312,Regular
206.0,61,4,13991.919091,1,2,2,122,Regular
262.0,254,5,13894.62172,3,1,2,312,Regular
360.0,164,3,13882.961041999999,2,2,2,222,Regular
275.0,-192,4,13675.13347,1,2,2,122,Regular
313.0,930,2,13620.539084,4,3,2,432,At Risk
223.0,14,7,13572.811404,1,1,2,112,Regular
87.0,254,4,13564.342593000001,3,2,2,322,Regular
7.0,40,2,13359.885772,1,3,2,132,Occasional
592.0,226,2,13278.154482000002,2,2,2,222,Regular
294.0,374,3,13239.931978,3,2,2,322,Regular
351.0,131,3,13236.607924,2,2,2,222,Regular
49.0,126,4,13212.193447,2,2,2,222,Regular
229.0,106,3,13144.779593999998,2,2,2,222,Regular
224.0,189,2,13140.248392999998,2,3,2,232,Occasional
598.0,269,1,13120.798449999998,3,3,2,332,Occasional
419.0,10,3,13104.456289999998,1,2,2,122,Regular
232.0,884,2,13083.597219,4,3,2,432,At Risk
20.0,418,1,13010.881545999999,3,4,2,342,Occasional
597.0,168,4,12990.223235,2,1,2,212,Regular
253.0,286,3,12931.949942,3,2,2,322,Regular
498.0,389,2,12881.852386,3,2,2,322,Regular
576.0,19,4,12853.70501,1,1,2,112,Regular
52.0,72,1,12805.585316,1,4,2,142,Occasional
64.0,27,4,12768.11805,1,2,2,122,Regular
418.0,320,2,12593.478316,3,3,2,332,Occasional
281.0,621,4,12550.547156,4,1,2,412,At Risk
176.0,399,2,12533.42826,3,3,2,332,Occasional
219.0,394,2,12506.143219,3,3,2,332,Occasional
533.0,209,2,12429.333551,2,2,2,222,Regular
62.0,392,1,12374.733016,3,4,2,342,Occasional
552.0,701,2,12306.306486,4,2,2,422,At Risk
425.0,263,2,12075.889139,3,3,2,332,Occasional
117.0,276,2,12070.919328,3,3,2,332,Occasional
455.0,745,1,12067.517863,4,4,2,442,At Risk
282.0,337,4,11954.907202,3,1,2,312,Regular
271.0,502,4,11952.411446999999,4,2,2,422,At Risk
436.0,238,2,11917.080068,2,3,2,232,Occasional
134.0,754,2,11866.836083999999,4,3,2,432,At Risk
208.0,89,4,11847.758298,1,2,2,122,Regular
554.0,82,3,11836.747406,1,2,2,122,Regular
431.0,915,1,11639.128718,4,4,2,442,At Risk
22.0,244,3,11591.149669,3,2,2,322,Regular
565.0,283,2,11564.802622000001,3,2,2,322,Regular
70.0,266,3,11555.813867,3,2,2,322,Regular
143.0,237,3,11430.168156,2,2,2,222,Regular
410.0,620,1,11410.215404,4,4,2,442,At Risk
242.0,252,3,11377.99339,3,2,2,322,Regular
359.0,-256,3,11339.254703999999,1,2,2,122,Regular
154.0,562,2,11298.150598,4,3,2,432,At Risk
453.0,182,2,11292.664691999998,2,3,2,232,Occasional
464.0,423,5,11272.758967,3,1,2,312,Regular
47.0,120,4,11261.402032000002,2,2,2,222,Regular
373.0,65,2,11213.688380000001,1,3,2,132,Occasional
584.0,94,4,11194.183749,1,1,2,112,Regular
76.0,670,2,11114.469075,4,3,2,432,At Risk
101.0,269,1,11004.324400000001,3,4,2,342,Occasional
541.0,201,3,10994.45431,2,2,2,222,Regular
280.0,635,1,10851.278746,4,4,2,442,At Risk
520.0,360,2,10768.420343000002,3,2,2,322,Regular
75.0,254,2,10676.319452000002,3,3,2,332,Occasional
435.0,450,2,10551.098111,4,3,2,432,At Risk
259.0,46,4,10537.776574,1,2,2,122,Regular
447.0,613,2,10458.522614,4,3,2,432,At Risk
394.0,289,3,10340.047317,3,2,2,322,Regular
292.0,514,2,10284.899592,4,3,2,432,At Risk
550.0,298,2,10282.513003,3,2,2,322,Regular
488.0,139,2,10259.92914,2,2,2,222,Regular
531.0,267,2,10247.632867,3,2,2,322,Regular
199.0,181,3,10197.097850999999,2,2,2,222,Regular
90.0,119,2,10188.966167999999,2,3,2,232,Occasional
580.0,428,2,10184.804123,3,2,3,323,Regular
156.0,115,3,10137.940175,2,2,3,223,Regular
159.0,81,4,10131.694433,1,2,3,123,Regular
80.0,277,2,10121.45706,3,3,3,333,Occasional
505.0,18,2,10062.020038,1,2,3,123,Regular
248.0,464,3,10058.748996999999,4,2,3,423,At Risk
548.0,607,1,10056.711268000001,4,3,3,433,At Risk
277.0,387,3,10013.791876,3,2,3,323,Regular
88.0,342,2,9761.587012,3,3,3,333,Occasional
412.0,250,2,9760.367522,3,3,3,333,Occasional
17.0,130,3,9757.738944,2,2,3,223,Regular
511.0,497,1,9754.042145000001,4,3,3,433,At Risk
502.0,56,2,9698.396125,1,2,3,123,Regular
408.0,142,4,9658.338632,2,1,3,213,Regular
68.0,16,3,9572.771781,1,2,3,123,Regular
37.0,394,1,9548.740062,3,4,3,343,Occasional
5.0,-433,5,9544.73075,1,1,3,113,Regular
128.0,470,3,9530.357102,4,2,3,423,At Risk
119.0,56,4,9524.02304,1,2,3,123,Regular
365.0,39,2,9489.941556,1,3,3,133,Occasional
444.0,139,3,9432.635937,2,2,3,223,Regular
244.0,148,2,9374.472296,2,3,3,233,Occasional
182.0,411,3,9358.165133999999,3,2,3,323,Regular
44.0,254,1,9349.985364999999,3,4,3,343,Occasional
303.0,137,4,9345.900776,2,1,3,213,Regular
362.0,80,1,9300.208514,1,4,3,143,Occasional
404.0,226,3,9283.343194000001,2,2,3,223,Regular
24.0,336,2,9242.199788000002,3,3,3,333,Occasional
210.0,824,2,9237.760423,4,3,3,433,At Risk
348.0,165,2,9234.090317000002,2,3,3,233,Occasional
581.0,37,2,9194.525197,1,2,3,123,Regular
566.0,533,1,9139.080179999999,4,3,3,433,At Risk
366.0,625,1,8924.282418,4,4,3,443,At Risk
287.0,327,3,8905.413751,3,2,3,323,Regular
422.0,-188,2,8897.568870000001,1,3,3,133,Occasional
13.0,277,3,8888.128978,3,2,3,323,Regular
457.0,40,2,8877.625659000001,1,3,3,133,Occasional
480.0,251,2,8858.95995,3,3,3,333,Occasional
214.0,400,2,8644.34435,3,3,3,333,Occasional
166.0,243,1,8566.269304,3,4,3,343,Occasional
458.0,263,2,8546.59715,3,3,3,333,Occasional
380.0,258,1,8483.208886,3,4,3,343,Occasional
534.0,211,2,8446.544786999999,2,2,3,223,Regular
546.0,80,1,8426.466813,1,3,3,133,Occasional
254.0,135,1,8398.12928,2,4,3,243,Occasional
45.0,839,2,8345.416898,4,3,3,433,At Risk
234.0,861,2,8332.75503,4,3,3,433,At Risk
296.0,712,2,8331.447372999999,4,3,3,433,At Risk
594.0,147,2,8320.032752,2,2,3,223,Regular
590.0,594,2,8223.789174,4,2,3,423,At Risk
517.0,235,2,8159.495944,2,2,3,223,Regular
153.0,157,1,8101.965469999999,2,4,3,243,Occasional
235.0,367,2,8095.998798999999,3,3,3,333,Occasional
575.0,843,2,7986.394844,4,2,3,423,At Risk
466.0,506,1,7924.828799999999,4,4,3,443,At Risk
200.0,480,1,7890.46473,4,4,3,443,At Risk
572.0,896,1,7749.800247,4,3,3,433,At Risk
414.0,172,2,7741.474276,2,3,3,233,Occasional
284.0,-216,3,7551.8149619999995,1,2,3,123,Regular
29.0,73,2,7539.909132,1,3,3,133,Occasional
367.0,69,2,7470.1659039999995,1,3,3,133,Occasional
78.0,134,2,7457.444959,2,3,3,233,Occasional
341.0,437,1,7455.386778,3,4,3,343,Occasional
459.0,394,1,7444.87744,3,4,3,343,Occasional
247.0,157,2,7379.988036000001,2,3,3,233,Occasional
530.0,780,2,7379.184924000001,4,2,3,423,At Risk
138.0,585,1,7274.488235,4,4,3,443,At Risk
127.0,267,3,7244.680240000001,3,2,3,323,Regular
595.0,414,2,7201.344562,3,2,3,323,Regular
83.0,559,1,7076.619635999999,4,4,3,443,At Risk
578.0,53,3,7055.16883,1,2,3,123,Regular
141.0,621,2,7032.340053,4,3,3,433,At Risk
521.0,564,2,6922.890876,4,2,3,423,At Risk
291.0,425,2,6914.71428,3,3,3,333,Occasional
239.0,859,1,6829.781353000001,4,4,3,443,At Risk
332.0,278,1,6817.590666,3,4,3,343,Occasional
85.0,135,2,6728.613768,2,3,3,233,Occasional
195.0,264,3,6692.643568,3,2,3,323,Regular
285.0,709,1,6567.756409,4,4,3,443,At Risk
225.0,220,1,6554.38527,2,4,3,243,Occasional
272.0,250,3,6551.420739,3,2,3,323,Regular
79.0,796,2,6465.48899,4,3,3,433,At Risk
32.0,16,1,6456.677448,1,4,3,143,Occasional
479.0,421,3,6338.161462,3,2,3,323,Regular
393.0,923,1,6244.581204,4,4,3,443,At Risk
273.0,270,2,6219.936557,3,3,3,333,Occasional
245.0,196,2,6181.536746,2,3,3,233,Occasional
135.0,230,1,6023.47728,2,4,3,243,Occasional
420.0,243,2,5993.909152,3,3,3,333,Occasional
350.0,355,3,5968.831392,3,2,3,323,Regular
92.0,22,3,5963.032956,1,2,3,123,Regular
157.0,210,1,5949.27936,2,4,3,243,Occasional
243.0,-365,2,5941.29813,1,3,3,133,Occasional
221.0,619,1,5902.8467200000005,4,4,3,443,At Risk
306.0,619,1,5872.677076,4,4,3,443,At Risk
462.0,536,1,5858.399719999999,4,4,3,443,At Risk
305.0,12,2,5843.938950000002,1,3,3,133,Occasional
146.0,64,1,5838.7979000000005,1,4,3,143,Occasional
355.0,66,2,5815.1567,1,3,3,133,Occasional
286.0,118,2,5783.789099,2,3,3,233,Occasional
34.0,47,4,5755.5662999999995,1,2,3,123,Regular
450.0,121,1,5746.205964999999,2,4,3,243,Occasional
133.0,542,1,5708.414500000001,4,4,3,443,At Risk
465.0,486,1,5707.668776,4,4,3,443,At Risk
512.0,539,2,5682.595225,4,2,3,423,At Risk
487.0,118,2,5630.147484,2,3,3,233,Occasional
86.0,47,2,5535.53959,1,3,3,133,Occasional
186.0,461,1,5423.63129,4,4,3,443,At Risk
477.0,595,2,5303.830188000001,4,3,3,433,At Risk
320.0,552,2,5296.043864,4,3,3,433,At Risk
43.0,258,2,5292.069393,3,3,3,333,Occasional
261.0,764,1,5224.592124999999,4,4,3,443,At Risk
1.0,258,2,5107.957949,3,3,3,333,Occasional
25.0,423,3,5106.032102,3,2,3,323,Regular
434.0,60,3,5098.613665999999,1,2,3,123,Regular
443.0,316,2,4966.06948,3,3,3,333,Occasional
233.0,238,1,4937.391732,2,4,3,243,Occasional
171.0,233,1,4928.22846,2,4,3,243,Occasional
142.0,-273,2,4921.5929240000005,1,3,3,133,Occasional
316.0,155,2,4834.887128,2,3,3,233,Occasional
364.0,59,2,4798.550809,1,3,4,134,Occasional
23.0,740,1,4792.637382000001,4,4,4,444,At Risk
392.0,185,3,4726.668098,2,2,4,224,Regular
369.0,840,1,4713.697152000001,4,4,4,444,At Risk
172.0,560,2,4711.160999,4,3,4,434,At Risk
469.0,68,1,4687.324609000001,1,4,4,144,Occasional
188.0,499,1,4591.024136,4,4,4,444,At Risk
250.0,677,1,4527.658872,4,4,4,444,At Risk
378.0,237,1,4525.410088,2,4,4,244,Occasional
328.0,87,1,4505.317086,1,4,4,144,Occasional
180.0,196,1,4497.5480179999995,2,4,4,244,Occasional
559.0,188,2,4486.435962,2,2,4,224,Regular
489.0,182,1,4481.78682,2,4,4,244,Occasional
155.0,508,1,4477.310208000001,4,4,4,444,At Risk
107.0,271,2,4476.196635,3,3,4,334,Occasional
116.0,249,1,4460.2622599999995,3,4,4,344,Occasional
600.0,622,1,4451.535368,4,3,4,434,At Risk
91.0,176,1,4447.898421,2,4,4,244,Occasional
201.0,416,2,4399.88546,3,3,4,334,Occasional
147.0,811,1,4380.274453,4,4,4,444,At Risk
402.0,138,3,4347.715284,2,2,4,224,Regular
28.0,406,1,4283.82449,3,4,4,344,Occasional
227.0,114,2,4252.640217,2,3,4,234,Occasional
353.0,40,2,4169.847234,1,3,4,134,Occasional
269.0,21,1,4051.1506150000005,1,4,4,144,Occasional
255.0,292,2,3922.63182,3,3,4,334,Occasional
33.0,428,1,3907.409848,3,4,4,344,Occasional
344.0,801,1,3869.9447779999996,4,4,4,444,At Risk
416.0,233,1,3816.34068,2,4,4,244,Occasional
461.0,385,2,3794.9614819999997,3,3,4,334,Occasional
449.0,646,1,3782.2911449999997,4,4,4,444,At Risk
440.0,678,1,3724.6233359999997,4,4,4,444,At Risk
413.0,172,1,3714.0411270000004,2,4,4,244,Occasional
529.0,818,1,3696.5183930000003,4,3,4,434,At Risk
354.0,263,2,3685.8702789999998,3,3,4,334,Occasional
69.0,577,1,3665.574909,4,4,4,444,At Risk
164.0,95,2,3638.9324720000004,1,3,4,134,Occasional
586.0,799,1,3533.1021600000004,4,3,4,434,At Risk
236.0,115,1,3312.7270320000002,2,4,4,244,Occasional
251.0,620,1,3305.77573,4,4,4,444,At Risk
46.0,291,1,3200.6562839999997,3,4,4,344,Occasional
263.0,429,1,3127.132496,3,4,4,344,Occasional
571.0,604,2,3116.660707,4,2,4,424,At Risk
389.0,615,1,3108.162904,4,4,4,444,At Risk
237.0,900,1,3053.278369,4,4,4,444,At Risk
65.0,607,1,3034.343375,4,4,4,444,At Risk
246.0,727,1,2990.425438,4,4,4,444,At Risk
278.0,952,1,2939.463552,4,4,4,444,At Risk
500.0,380,1,2935.13055,3,3,4,334,Occasional
203.0,589,1,2892.242074,4,4,4,444,At Risk
426.0,368,2,2879.5812559999995,3,3,4,334,Occasional
400.0,216,3,2841.455192,2,2,4,224,Regular
112.0,140,1,2833.411416,2,4,4,244,Occasional
50.0,374,1,2821.332624,3,4,4,344,Occasional
187.0,337,2,2789.314359,3,3,4,334,Occasional
519.0,458,1,2759.517886,4,3,4,434,At Risk
409.0,408,1,2710.8521039999996,3,4,4,344,Occasional
476.0,537,1,2673.3222419999997,4,4,4,444,At Risk
577.0,123,1,2624.410427,2,3,4,234,Occasional
57.0,822,1,2621.7600899999998,4,4,4,444,At Risk
383.0,-334,2,2606.8207279999997,1,3,4,134,Occasional
241.0,614,1,2604.611772,4,4,4,444,At Risk
514.0,607,1,2522.321576,4,3,4,434,At Risk
472.0,664,1,2448.2183700000005,4,4,4,444,At Risk
482.0,619,1,2378.080026,4,4,4,444,At Risk
51.0,88,2,2289.904743,1,3,4,134,Occasional
347.0,787,1,2224.81482,4,4,4,444,At Risk
173.0,946,1,2125.630513,4,4,4,444,At Risk
473.0,324,1,2083.4926020000003,3,4,4,344,Occasional
175.0,311,2,2056.984451,3,3,4,334,Occasional
81.0,655,1,2025.9969339999998,4,4,4,444,At Risk
522.0,453,1,1940.616468,4,3,4,434,At Risk
3.0,474,1,1897.4778819999997,4,4,4,444,At Risk
513.0,641,1,1830.162906,4,3,4,434,At Risk
160.0,822,1,1820.6433519999998,4,4,4,444,At Risk
61.0,446,1,1792.7970549999998,3,4,4,344,Occasional
216.0,333,2,1792.059264,3,3,4,334,Occasional
345.0,652,2,1786.873134,4,3,4,434,At Risk
89.0,271,1,1753.2340249999997,3,4,4,344,Occasional
324.0,196,1,1702.913667,2,4,4,244,Occasional
307.0,595,1,1693.6833639999998,4,4,4,444,At Risk
297.0,393,1,1680.98235,3,4,4,344,Occasional
452.0,-322,1,1680.6439070000001,1,4,4,144,Occasional
494.0,248,1,1595.8910059999998,3,4,4,344,Occasional
549.0,595,1,1557.5808760000002,4,3,4,434,At Risk
181.0,317,1,1532.267664,3,4,4,344,Occasional
589.0,630,1,1481.541419,4,3,4,434,At Risk
16.0,403,1,1438.02083,3,4,4,344,Occasional
310.0,313,1,1406.524392,3,4,4,344,Occasional
501.0,264,1,1399.404225,3,3,4,334,Occasional
94.0,674,1,1301.194752,4,4,4,444,At Risk
190.0,463,1,1279.37629,4,4,4,444,At Risk
318.0,66,2,1265.867631,1,3,4,134,Occasional
191.0,227,1,1160.942478,2,4,4,244,Occasional
539.0,634,1,1096.8938520000002,4,3,4,434,At Risk
441.0,627,1,1073.38176,4,4,4,444,At Risk
525.0,490,1,1072.70082,4,3,4,434,At Risk
252.0,503,1,1012.3429079999999,4,4,4,444,At Risk
129.0,525,1,914.044109,4,4,4,444,At Risk
258.0,447,1,891.3192250000001,4,4,4,444,At Risk
475.0,525,1,821.4997149999999,4,4,4,444,At Risk
63.0,668,1,813.349062,4,4,4,444,At Risk
249.0,106,1,811.26128,2,4,4,244,Occasional
144.0,184,1,776.0658719999999,2,4,4,244,Occasional
583.0,489,1,752.81882,4,3,4,434,At Risk
8.0,288,1,752.725458,3,4,4,344,Occasional
337.0,603,1,682.78528,4,4,4,444,At Risk
545.0,702,1,676.184795,4,3,4,434,At Risk
30.0,409,1,647.9433799999999,3,4,4,344,Occasional
290.0,493,1,606.0818609999999,4,4,4,444,At Risk
540.0,571,1,552.5936839999999,4,3,4,434,At Risk
483.0,850,1,450.947832,4,4,4,444,At Risk
326.0,625,1,448.462924,4,4,4,444,At Risk
599.0,402,1,401.13522599999993,3,3,4,334,Occasional
220.0,409,1,352.49416399999996,3,4,4,344,Occasional
108.0,221,1,312.837788,2,4,4,244,Occasional
115.0,645,1,203.17836,4,4,4,444,At Risk
588.0,241,1,177.261,2,3,4,234,Occasional
99.0,400,1,40.6017,3,4,4,344,Occasional
423.0,285,1,35.259234,3,4,4,344,Occasional
379.0,431,1,24.859160000000003,3,4,4,344,Occasional
